Species,Stage,Clutch Completion,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,sample_id
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,39.1,18.7,181.0,3750.0,MALE,1
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,39.5,17.4,186.0,3800.0,FEMALE,2
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,40.3,18.0,195.0,3250.0,FEMALE,3
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,,,,,,4
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,36.7,19.3,193.0,3450.0,FEMALE,5
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,39.3,20.6,190.0,3650.0,MALE,6
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",No,38.9,17.8,181.0,3625.0,FEMALE,7
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",No,39.2,19.6,195.0,4675.0,MALE,8
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,34.1,18.1,193.0,3475.0,,9
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,42.0,20.2,190.0,4250.0,,10
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,37.8,17.1,186.0,3300.0,,11
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,37.8,17.3,180.0,3700.0,,12
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,41.1,17.6,182.0,3200.0,FEMALE,13
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,38.6,21.2,191.0,3800.0,MALE,14
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,34.6,21.1,198.0,4400.0,MALE,15
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,36.6,17.8,185.0,3700.0,FEMALE,16
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,38.7,19.0,195.0,3450.0,FEMALE,17
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,42.5,20.7,197.0,4500.0,MALE,18
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,34.4,18.4,184.0,3325.0,FEMALE,19
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,46.0,21.5,194.0,4200.0,MALE,20
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,37.8,18.3,174.0,3400.0,FEMALE,21
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,37.7,18.7,180.0,3600.0,MALE,22
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,35.9,19.2,189.0,3800.0,FEMALE,23
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,38.2,18.1,185.0,3950.0,MALE,24
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,38.8,17.2,180.0,3800.0,MALE,25
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,35.3,18.9,187.0,3800.0,FEMALE,26
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,40.6,18.6,183.0,3550.0,MALE,27
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,40.5,17.9,187.0,3200.0,FEMALE,28
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",No,37.9,18.6,172.0,3150.0,FEMALE,29
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",No,40.5,18.9,180.0,3950.0,MALE,30
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,39.5,16.7,178.0,3250.0,FEMALE,31
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,37.2,18.1,178.0,3900.0,MALE,32
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,39.5,17.8,188.0,3300.0,FEMALE,33
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,40.9,18.9,184.0,3900.0,MALE,34
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,36.4,17.0,195.0,3325.0,FEMALE,35
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,39.2,21.1,196.0,4150.0,MALE,36
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,38.8,20.0,190.0,3950.0,MALE,37
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,42.2,18.5,180.0,3550.0,FEMALE,38
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",No,37.6,19.3,181.0,3300.0,FEMALE,39
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",No,39.8,19.1,184.0,4650.0,MALE,40
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,36.5,18.0,182.0,3150.0,FEMALE,41
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,40.8,18.4,195.0,3900.0,MALE,42
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,36.0,18.5,186.0,3100.0,FEMALE,43
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,44.1,19.7,196.0,4400.0,MALE,44
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,37.0,16.9,185.0,3000.0,FEMALE,45
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,39.6,18.8,190.0,4600.0,MALE,46
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,41.1,19.0,182.0,3425.0,MALE,47
