Region,Island,sample_id
Anvers,Torgersen,1
Anvers,Torgersen,2
Anvers,Torgersen,3
Anvers,Torgersen,4
Anvers,Torgersen,5
Anvers,Torgersen,6
Anvers,Torgersen,7
Anvers,Torgersen,8
Anvers,Torgersen,9
Anvers,Torgersen,10
Anvers,Torgersen,11
Anvers,Torgersen,12
Anvers,Torgersen,13
Anvers,Torgersen,14
Anvers,Torgersen,15
Anvers,Torgersen,16
Anvers,Torgersen,17
Anvers,Torgersen,18
Anvers,Torgersen,19
Anvers,Torgersen,20
Anvers,Biscoe,21
Anvers,Biscoe,22
Anvers,Biscoe,23
Anvers,Biscoe,24
Anvers,Biscoe,25
Anvers,Biscoe,26
Anvers,Biscoe,27
Anvers,Biscoe,28
Anvers,Biscoe,29
Anvers,Biscoe,30
Anvers,Dream,31
Anvers,Dream,32
Anvers,Dream,33
Anvers,Dream,34
Anvers,Dream,35
Anvers,Dream,36
Anvers,Dream,37
Anvers,Dream,38
Anvers,Dream,39
Anvers,Dream,40
Anvers,Dream,41
Anvers,Dream,42
Anvers,Dream,43
Anvers,Dream,44
Anvers,Dream,45
Anvers,Dream,46
Anvers,Dream,47
Anvers,Dream,48
Anvers,Dream,49
Anvers,Dream,50
Anvers,Biscoe,51
Anvers,Biscoe,52
Anvers,Biscoe,53
Anvers,Biscoe,54
Anvers,Biscoe,55
Anvers,Biscoe,56
Anvers,Biscoe,57
Anvers,Biscoe,58
Anvers,Biscoe,59
Anvers,Biscoe,60
Anvers,Biscoe,61
Anvers,Biscoe,62
Anvers,Biscoe,63
Anvers,Biscoe,64
Anvers,Biscoe,65
Anvers,Biscoe,66
Anvers,Biscoe,67
Anvers,Biscoe,68
Anvers,Torgersen,69
Anvers,Torgersen,70
Anvers,Torgersen,71
Anvers,Torgersen,72
Anvers,Torgersen,73
Anvers,Torgersen,74
Anvers,Torgersen,75
Anvers,Torgersen,76
Anvers,Torgersen,77
Anvers,Torgersen,78
Anvers,Torgersen,79
Anvers,Torgersen,80
Anvers,Torgersen,81
Anvers,Torgersen,82
Anvers,Torgersen,83
Anvers,Torgersen,84
Anvers,Dream,85
Anvers,Dream,86
Anvers,Dream,87
Anvers,Dream,88
Anvers,Dream,89
Anvers,Dream,90
Anvers,Dream,91
Anvers,Dream,92
Anvers,Dream,93
Anvers,Dream,94
Anvers,Dream,95
Anvers,Dream,96
Anvers,Dream,97
Anvers,Dream,98
Anvers,Dream,99
Anvers,Dream,100
Anvers,Biscoe,101
Anvers,Biscoe,102
Anvers,Biscoe,103
Anvers,Biscoe,104
Anvers,Biscoe,105
Anvers,Biscoe,106
Anvers,Biscoe,107
Anvers,Biscoe,108
Anvers,Biscoe,109
Anvers,Biscoe,110
Anvers,Biscoe,111
Anvers,Biscoe,112
Anvers,Biscoe,113
Anvers,Biscoe,114
Anvers,Biscoe,115
Anvers,Biscoe,116
Anvers,Torgersen,117
Anvers,Torgersen,118
Anvers,Torgersen,119
Anvers,Torgersen,120
Anvers,Torgersen,121
Anvers,Torgersen,122
Anvers,Torgersen,123
Anvers,Torgersen,124
Anvers,Torgersen,125
Anvers,Torgersen,126
Anvers,Torgersen,127
Anvers,Torgersen,128
Anvers,Torgersen,129
Anvers,Torgersen,130
Anvers,Torgersen,131
Anvers,Torgersen,132
Anvers,Dream,133
Anvers,Dream,134
Anvers,Dream,135
Anvers,Dream,136
Anvers,Dream,137
Anvers,Dream,138
Anvers,Dream,139
Anvers,Dream,140
Anvers,Dream,141
Anvers,Dream,142
Anvers,Dream,143
Anvers,Dream,144
Anvers,Dream,145
Anvers,Dream,146
Anvers,Dream,147
Anvers,Dream,148
Anvers,Dream,149
Anvers,Dream,150
Anvers,Dream,151
Anvers,Dream,152
Anvers,Dream,153
Anvers,Dream,154
Anvers,Dream,155
Anvers,Dream,156
Anvers,Dream,157
Anvers,Dream,158
Anvers,Dream,159
Anvers,Dream,160
Anvers,Dream,161
Anvers,Dream,162
Anvers,Dream,163
Anvers,Dream,164
Anvers,Dream,165
Anvers,Dream,166
Anvers,Dream,167
Anvers,Dream,168
Anvers,Dream,169
Anvers,Dream,170
Anvers,Dream,171
Anvers,Dream,172
Anvers,Dream,173
Anvers,Dream,174
Anvers,Dream,175
Anvers,Dream,176
Anvers,Dream,177
Anvers,Dream,178
Anvers,Dream,179
Anvers,Dream,180
Anvers,Dream,181
Anvers,Dream,182
Anvers,Dream,183
Anvers,Dream,184
Anvers,Dream,185
Anvers,Dream,186
Anvers,Dream,187
Anvers,Dream,188
Anvers,Dream,189
Anvers,Dream,190
Anvers,Dream,191
Anvers,Dream,192
Anvers,Dream,193
Anvers,Dream,194
Anvers,Dream,195
Anvers,Dream,196
Anvers,Dream,197
Anvers,Dream,198
Anvers,Dream,199
Anvers,Dream,200
Anvers,Dream,201
Anvers,Dream,202
Anvers,Dream,203
Anvers,Dream,204
Anvers,Dream,205
Anvers,Dream,206
Anvers,Dream,207
Anvers,Dream,208
Anvers,Dream,209
Anvers,Dream,210
Anvers,Dream,211
Anvers,Dream,212
Anvers,Dream,213
Anvers,Dream,214
Anvers,Dream,215
Anvers,Dream,216
Anvers,Dream,217
Anvers,Dream,218
Anvers,Dream,219
Anvers,Dream,220
Anvers,Biscoe,221
Anvers,Biscoe,222
Anvers,Biscoe,223
Anvers,Biscoe,224
Anvers,Biscoe,225
Anvers,Biscoe,226
Anvers,Biscoe,227
Anvers,Biscoe,228
Anvers,Biscoe,229
Anvers,Biscoe,230
Anvers,Biscoe,231
Anvers,Biscoe,232
Anvers,Biscoe,233
Anvers,Biscoe,234
Anvers,Biscoe,235
Anvers,Biscoe,236
Anvers,Biscoe,237
Anvers,Biscoe,238
Anvers,Biscoe,239
Anvers,Biscoe,240
Anvers,Biscoe,241
Anvers,Biscoe,242
Anvers,Biscoe,243
Anvers,Biscoe,244
Anvers,Biscoe,245
Anvers,Biscoe,246
Anvers,Biscoe,247
Anvers,Biscoe,248
Anvers,Biscoe,249
Anvers,Biscoe,250
Anvers,Biscoe,251
Anvers,Biscoe,252
Anvers,Biscoe,253
Anvers,Biscoe,254
Anvers,Biscoe,255
Anvers,Biscoe,256
Anvers,Biscoe,257
Anvers,Biscoe,258
Anvers,Biscoe,259
Anvers,Biscoe,260
Anvers,Biscoe,261
Anvers,Biscoe,262
Anvers,Biscoe,263
Anvers,Biscoe,264
Anvers,Biscoe,265
Anvers,Biscoe,266
Anvers,Biscoe,267
Anvers,Biscoe,268
Anvers,Biscoe,269
Anvers,Biscoe,270
Anvers,Biscoe,271
Anvers,Biscoe,272
Anvers,Biscoe,273
Anvers,Biscoe,274
Anvers,Biscoe,275
Anvers,Biscoe,276
Anvers,Biscoe,277
Anvers,Biscoe,278
Anvers,Biscoe,279
Anvers,Biscoe,280
Anvers,Biscoe,281
Anvers,Biscoe,282
Anvers,Biscoe,283
Anvers,Biscoe,284
Anvers,Biscoe,285
Anvers,Biscoe,286
Anvers,Biscoe,287
Anvers,Biscoe,288
Anvers,Biscoe,289
Anvers,Biscoe,290
Anvers,Biscoe,291
Anvers,Biscoe,292
Anvers,Biscoe,293
Anvers,Biscoe,294
Anvers,Biscoe,295
Anvers,Biscoe,296
Anvers,Biscoe,297
Anvers,Biscoe,298
Anvers,Biscoe,299
Anvers,Biscoe,300
Anvers,Biscoe,301
Anvers,Biscoe,302
Anvers,Biscoe,303
Anvers,Biscoe,304
Anvers,Biscoe,305
Anvers,Biscoe,306
Anvers,Biscoe,307
Anvers,Biscoe,308
Anvers,Biscoe,309
Anvers,Biscoe,310
Anvers,Biscoe,311
Anvers,Biscoe,312
Anvers,Biscoe,313
Anvers,Biscoe,314
Anvers,Biscoe,315
Anvers,Biscoe,316
Anvers,Biscoe,317
Anvers,Biscoe,318
Anvers,Biscoe,319
Anvers,Biscoe,320
Anvers,Biscoe,321
Anvers,Biscoe,322
Anvers,Biscoe,323
Anvers,Biscoe,324
Anvers,Biscoe,325
Anvers,Biscoe,326
Anvers,Biscoe,327
Anvers,Biscoe,328
Anvers,Biscoe,329
Anvers,Biscoe,330
Anvers,Biscoe,331
Anvers,Biscoe,332
Anvers,Biscoe,333
Anvers,Biscoe,334
Anvers,Biscoe,335
Anvers,Biscoe,336
Anvers,Biscoe,337
Anvers,Biscoe,338
Anvers,Biscoe,339
Anvers,Biscoe,340
Anvers,Biscoe,341
Anvers,Biscoe,342
Anvers,Biscoe,343
Anvers,Biscoe,344
