ID;ORDERID;ITEMID;AMOUNT;UNITPRICE;LINETOTAL
4513;812;9595;6;395.551;2.373.308
4514;812;24977;9;64.605;581.447
4515;813;8041;9;243.825;2.194.422
4516;813;4090;8;204.929;1.639.434
4517;813;9806;6;32.337;194.023
4518;813;12853;7;119.857;838.999
4519;813;5952;9;31.816;286.340
4520;813;26518;6;65.549;393.294
4521;813;17442;9;40.519;364.668
4522;813;5588;8;106.193;849.544
4523;813;7334;7;363.703;2.545.922
4524;814;22929;2;144.383;288.767
4525;814;14085;5;115.573;577.864
4526;814;16289;4;24.175;96.700
4527;814;25172;8;60.027;480.217
4528;814;6203;2;401.280;802.560
4529;814;18047;7;95.616;669.314
4530;814;15127;4;219.901;879.603
4531;815;10009;5;40.786;203.929
4532;815;9548;10;64.251;642.515
4533;815;27661;3;290.646;871.937
4534;815;10726;9;0.9646;86.815
4535;815;16221;8;33.818;270.540
4536;815;22430;6;67.588;405.528
4537;815;11016;8;315.049;2.520.395
4538;815;14101;10;203.587;2.035.874
4539;815;16729;4;22.436;89.744
4540;815;3526;2;150.252;300.504
4541;816;9816;8;716.782;5.734.258
4542;816;18692;9;41.705;375.343
4543;816;22757;9;15.835;142.516
4544;816;12297;7;20.435;143.048
4545;816;18454;1;356.848;356.848
4546;816;16534;10;203.748;2.037.478
4547;817;4129;5;70.737;353.684
4548;817;3647;7;18.376;128.633
4549;817;4576;9;42.416;381.742
4550;817;1870;1;63.685;63.685
4551;817;26565;9;119.731;1.077.577
4552;818;24172;2;30.019;60.038
4553;818;21856;10;61.368;613.676
4554;818;19978;5;37.667;188.337
4555;818;15586;4;21.017;84.068
4556;818;12172;4;431.372;1.725.489
4557;818;11384;2;77.672;155.345
4558;818;822;2;88.416;176.832
4559;818;9034;4;82.993;331.973
4560;819;16166;2;33.877;67.754
4561;819;14790;7;35.551;248.860
4562;819;27874;7;55.428;387.994
4563;819;5624;3;204.689;614.066
4564;819;8671;1;14.628;14.628
4565;819;24210;5;57.129;285.643
4566;819;1139;7;389.652;2.727.561
4567;820;7219;1;240.107;240.107
4568;820;20801;9;271.957;2.447.617
4569;820;4561;2;117.021;234.042
4570;820;6234;4;19.428;77.712
4571;820;3046;3;496.303;1.488.910
4572;820;18963;2;36.355;72.711
4573;820;10404;8;88.098;704.782
4574;821;1732;9;1.077.588;9.698.290
4575;821;12118;6;173.468;1.040.806
4576;821;15513;2;78.510;157.021
4577;821;25923;7;85.381;597.667
4578;822;22881;7;767.870;5.375.091
4579;822;10344;1;294.466;294.466
4580;822;12795;10;139.322;1.393.222
4581;822;16064;10;21.085;210.849
4582;822;26430;5;317.611;1.588.055
4583;822;26966;2;97.031;194.062
4584;822;26510;5;40.050;200.252
4585;823;23167;8;57.634;461.075
4586;823;11710;5;77.397;386.985
4587;823;4807;6;170.447;1.022.684
4588;823;1127;2;174.830;349.660
4589;823;7243;9;320.112;2.881.008
4590;823;19395;5;212.020;1.060.100
4591;823;18699;8;18.158;145.262
4592;823;1155;3;267.819;803.458
4593;824;20589;3;97.903;293.710
4594;824;22779;1;290.497;290.497
4595;824;23239;6;100.631;603.784
4596;824;18164;1;13.748;13.748
4597;824;10460;9;579.495;5.215.455
4598;824;4764;2;200.265;400.530
4599;824;20051;9;35.424;318.814
4600;824;25960;2;20.599;41.198
4601;825;16090;8;108.388;867.105
4602;826;8664;7;164.128;1.148.898
4603;826;5972;10;144.867;1.448.666
4604;826;11395;6;100.486;602.918
4605;827;16449;2;201.365;402.731
4606;827;3200;10;27.861;278.613
4607;827;17561;5;40.674;203.369
4608;827;13418;8;47.836;382.685
4609;827;20279;1;104.550;104.550
4610;828;15425;4;140.671;562.683
4611;828;25576;4;136.765;547.060
4612;828;9671;4;124.577;498.309
4613;828;9148;5;12.101;60.504
4614;828;22739;4;203.539;814.155
4615;828;23653;9;58.709;528.380
4616;828;13304;7;0.9182;64.277
4617;828;5551;5;35.720;178.598
4618;829;16067;3;83.222;249.665
4619;829;1557;10;21.750;217.499
4620;829;20802;7;48.862;342.037
4621;829;14715;6;13.013;78.076
4622;829;6515;7;19.486;136.399
4623;830;25903;1;72.926;72.926
4624;830;23694;7;35.462;248.234
4625;830;24134;8;196.075;1.568.603
4626;830;25755;8;0.4969;39.750
4627;830;17171;4;101.860;407.439
4628;830;2736;2;194.657;389.315
4629;830;7059;1;13.100;13.100
4630;830;2937;7;220.861;1.546.025
4631;830;24741;9;54.543;490.884
4632;830;25878;2;201.753;403.507
4633;831;5354;7;134.046;938.320
4634;831;11685;5;15.550;77.749
4635;831;11657;8;100.185;801.480
4636;831;13897;10;158.325;1.583.246
4637;831;18671;8;129.101;1.032.812
4638;831;20753;10;70.859;708.595
4639;831;10616;3;333.961;1.001.882
4640;832;22123;8;48.685;389.484
4641;833;6115;6;21.875;131.250
4642;834;20611;9;65.678;591.104
4643;834;24234;4;67.788;271.152
