ID;USERID;DATE_;TOTALPRICE;STATUS_;ADDRESSID
1;7678;5.02.2019 23:56;8.395.692;2;18770
2;5477;26.04.2019 14:05;2.190.450;2;8172
3;936;19.01.2019 10:30;5.329.106;2;2242
4;7378;23.12.2019 20:46;25.538;2;18010
5;21;26.08.2019 20:02;11.354.938;2;48
6;9232;14.08.2019 00:01;5.359.645;2;22567
7;6813;19.03.2020 02:29;4.275.825;2;16636
8;7637;22.12.2019 07:52;2.310.486;2;18653
9;889;15.01.2020 01:59;2.320.969;2;2133
10;8150;24.02.2019 21:36;2.666.113;2;19925
11;1440;6.07.2019 22:47;804.245;2;3488
12;5481;11.02.2020 12:23;6.597.009;2;8182
13;2657;2.09.2019 11:29;7.399.466;2;11738
14;5544;12.07.2019 10:00;1.325.841;2;8348
15;5398;27.12.2019 08:17;2.701.712;2;7967
16;1838;22.02.2020 17:21;8.366.206;2;4448
17;1682;17.08.2019 03:32;2.878.057;2;4068
18;4058;22.01.2020 16:56;5.606.930;2;15129
19;8559;16.10.2019 11:07;20.395.422;2;20916
20;7108;8.06.2019 05:52;1.627.007;2;17336
21;2145;1.10.2019 04:26;1.388.931;2;5225
22;4840;9.03.2020 04:22;2.326.163;2;6536
23;824;2.07.2019 07:22;14.208.732;2;1959
24;5002;7.04.2019 15:30;374.289;2;6951
25;4508;21.01.2020 19:32;4.699.275;2;5734
26;5754;29.06.2019 22:30;5.100.486;2;8839
27;7253;1.05.2019 10:35;7.336.926;2;17674
28;1849;20.03.2020 06:36;4.495.609;2;4471
29;8284;28.05.2019 11:16;3.598.759;2;20244
30;3917;9.01.2019 05:46;8.634.448;2;14784
31;1863;13.04.2019 04:39;52.878;2;4509
32;2018;24.02.2019 12:29;1.572.234;2;4918
33;1265;10.07.2019 01:43;52.716;2;3047
34;5269;14.08.2019 23:48;6.026.317;2;7619
35;6845;13.08.2019 06:49;7.989.674;2;16705
36;6760;22.09.2019 10:42;2.760.928;2;16492
37;7366;4.09.2019 01:50;5.911.046;2;17971
38;3933;21.11.2019 01:22;6.464.411;2;14819
39;4851;19.01.2020 04:36;5.890.077;2;24473
40;284;3.02.2020 15:02;2.689.004;2;653
41;5440;22.12.2019 02:37;818.426;2;8072
42;2250;27.02.2020 23:35;1.236.690;2;10730
43;1599;24.08.2019 19:57;2.647.294;2;3887
44;4086;18.04.2019 05:30;8.411.335;2;15185
45;9167;7.01.2019 09:11;6.051.521;2;22393
46;3974;15.03.2019 07:37;559.829;2;14927
47;5324;7.01.2019 06:25;5.024.306;2;7756
48;6749;1.02.2019 23:50;356.522;2;24475
49;9246;27.01.2020 07:46;3.187.783;2;22595
50;7078;6.03.2020 02:22;3.568.257;2;17273
51;287;31.01.2020 12:55;6.133.820;2;663
52;7921;23.05.2019 09:59;4.530.268;2;19360
53;1612;18.01.2019 12:45;5.878.932;2;24476
54;867;25.01.2019 18:59;7.025.595;2;2073
55;2242;5.01.2020 05:05;5.548.100;2;10710
56;9399;14.01.2020 03:37;680.348;2;22974
57;6153;6.04.2019 05:46;2.713.500;2;9833
58;6203;25.02.2019 17:57;3.814.082;2;9956
59;2436;1.04.2019 19:21;1.001.294;2;11187
60;4828;20.10.2019 15:30;5.524.835;2;6511
61;4204;20.09.2019 02:36;4.392.405;2;15472
62;422;29.03.2019 19:43;102.575;2;983
63;4722;7.01.2019 15:01;3.172.343;2;6242
64;1987;20.01.2019 09:25;3.182.743;2;4833
65;2821;13.03.2019 16:40;1.607.139;2;12127
66;4357;13.12.2019 15:26;2.680.802;2;5366
67;8502;23.02.2019 15:40;4.324.183;2;20771
68;8434;20.02.2019 22:45;4.048.361;2;20609
69;3669;18.06.2019 21:23;482.886;2;14172
70;4232;6.01.2020 00:10;3.991.870;2;15538
71;8858;10.03.2019 03:38;2.075.118;2;21644
72;941;17.06.2019 04:23;3.275.638;2;2252
73;4981;8.01.2020 16:15;5.882.276;2;6900
74;809;2.07.2019 04:53;5.709.623;2;1926
75;8736;5.07.2019 13:08;9.670.100;2;21344
76;6811;29.01.2019 14:43;527.495;2;16630
77;6096;7.02.2020 02:47;2.161.653;2;9697
78;6062;15.11.2019 05:16;2.320.644;2;9615
79;6168;24.02.2019 08:38;2.136.160;2;9870
80;7732;24.02.2019 00:27;2.655.619;2;24477
81;6376;3.02.2019 07:10;239.188;2;10363
82;5355;30.03.2019 03:56;3.227.307;2;7854
83;8973;28.01.2020 21:49;6.035.798;2;21929
84;1046;7.10.2019 14:09;1.242.268;2;2520
85;1845;9.01.2019 03:30;1.221.429;2;4461
86;7854;22.07.2019 22:53;2.256.621;2;19195
87;3700;22.02.2019 18:19;6.989.961;2;14248
88;1125;4.06.2019 15:04;1.782.837;2;2709
89;7001;6.05.2019 01:36;4.215.743;2;17077
90;7635;18.01.2019 15:50;7.114.635;2;18651
91;8738;18.02.2019 05:17;3.153.551;2;21347
92;3445;26.01.2019 09:47;1.866.084;2;13626
93;6967;5.07.2019 19:06;6.886.427;2;16992
94;5345;5.01.2019 17:51;5.952.367;2;7820
95;1891;11.10.2019 18:01;1.247.138;2;4576
96;4473;15.03.2019 13:32;13.960.804;2;5650
97;3558;9.01.2019 02:58;14.465.242;2;13906
98;7068;21.02.2020 23:43;4.290.989;2;17243
99;4615;29.01.2020 20:01;412.325;2;5972
100;5111;6.02.2019 13:04;4.185.662;2;7236
101;4547;9.10.2019 09:58;927.560;2;5823
102;2102;28.02.2020 19:50;653.995;2;5118
103;1641;1.01.2020 18:14;13.265.217;2;3979
104;272;24.11.2019 23:57;1.705.344;2;622
105;7283;3.11.2019 16:40;15.838.461;2;17754
106;671;7.03.2019 22:55;171.250;2;1594
107;1872;22.01.2019 15:45;4.529.263;2;4530
108;1451;22.01.2019 06:33;1.830.879;2;3511
109;6410;20.09.2019 06:45;4.661.568;2;10440
110;6411;9.05.2019 23:14;776.869;2;10444
111;9141;16.06.2019 07:17;2.030.218;2;22326
112;9130;23.02.2020 15:07;4.592.766;2;22299
113;7657;10.03.2019 11:08;449.895;2;18710
114;6643;11.11.2019 15:52;4.669.931;2;16225
115;7312;5.01.2019 12:42;7.889.599;2;17827
116;5130;24.08.2019 11:10;4.137.730;2;7293
